section	module_or_level	item_or_grade	software_or_package	version	analysis_stratum	parameter_or_required_evidence	reference_or_supporting_evidence	testing_universe	number_of_tests	correction_method	significance_threshold	fdr_threshold	interpretation_boundary	notes
Software and reference resources	LDSC	Not applicable	ldsc	LDSC v1.0.1-compatible Python implementation	Not applicable	HapMap3 SNPs; MHC excluded; BH-FDR across tested disease pairs	1000 Genomes Phase 3 LD scores; HapMap3 no-MHC regression weights	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19-compatible LDSC resources	Version family reported for reproducibility; archived scripts and input/output manifests define the exact analysis calls.
Software and reference resources	LAVA	Not applicable	LAVA R package	LAVA R package, v0.1.x-compatible local pipeline	Not applicable	local genetic correlation by pair-region; LAVA-positive pairs retained for downstream analysis	1000 Genomes European LD reference, module-specific blocks	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19-compatible	Version family reported for reproducibility; scripts archived in code_final/02_lava_screen.
Software and reference resources	MTAG	Not applicable	MTAG	MTAG v1.0.8-compatible pipeline	Not applicable	pair-level cross-trait summary statistics; 22 chromosomes; rerun flag recorded	harmonized GWAS summary statistics	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19-compatible GWAS coordinates	Version family reported for reproducibility; pair-level logs and archived scripts define the exact calls.
Software and reference resources	PLACO	Not applicable	PLACO R implementation	PLACO v0.2.0 R implementation	Not applicable	genome-wide pair-level pleiotropic association; P < 5e-8 and pair-level BH-FDR summaries recorded	trait-pair harmonized GWAS summary statistics	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19-compatible	MTAG outputs not used as PLACO inputs according to README. Runtime environment used for local table completion: Python 3.11.15; Rscript (R) version 4.5.3 (2026-03-11).
Software and reference resources	CPASSOC	Not applicable	CPASSOC	CPASSOC v1.0-compatible binary/source workflow	Not applicable	genome-wide pair-level cross-phenotype association; P < 5e-8 and pair-level BH-FDR summaries recorded	trait-pair harmonized GWAS summary statistics	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19-compatible	Version family reported for reproducibility; genome-wide QC outputs define the tested pair-variant universe.
Software and reference resources	coloc ABF	Not applicable	coloc R package	coloc R package v5.x-compatible ABF workflow	Not applicable	ABF colocalization; PP.H4 summaries; SuSiE run where coloc/region criteria allowed	harmonized regional summary statistics	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19 coordinates	Version family reported for reproducibility; ABF posterior thresholds are defined in Methods and Supplementary Table 5.
Software and reference resources	SuSiE-coloc	Not applicable	susieR / coloc.susie	susieR v0.12.x-compatible with coloc.susie v5.x-compatible workflow	Not applicable	credible-set based colocalization; skipped/failed status retained as diagnostic	1000 Genomes European LD where LD-dependent step required	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19 coordinates	Version family reported for reproducibility; SuSiE-coloc status categories are retained in diagnostic outputs.
Software and reference resources	MAGMA	Not applicable	MAGMA	MAGMA v1.10-compatible command-line workflow	Not applicable	Bonferroni correction within relevant gene-testing universe; final candidate restricted to Locus-A/B genes	1000 Genomes European LD reference where used	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19 gene/locus universe	Version family reported for reproducibility; locus-restricted testing universe is defined in Methods and Supplementary Table 5.
Software and reference resources	FUSION TWAS	Not applicable	FUSION	FUSION TWAS association-test workflow using GTEx v8 weights	Not applicable	GTEx v8 49 normal tissues; candidate-restricted to MAGMA Bonferroni-positive A/B genes; pair x tissue BH-FDR <= 0.05	GTEx v8 FUSION expression weights; hg38 EUR LDREF chr1-22	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	FUSION resources hg38-like; gene matching by HGNC/Ensembl ID	2573/2573 raw jobs completed; max RSS 10.21 GB. Runtime environment used for local table completion: Python 3.11.15; Rscript (R) version 4.5.3 (2026-03-11).
Software and reference resources	Pathway ORA	Not applicable	Python/R enrichment scripts; scipy/statsmodels where applicable	Python/R ORA workflow using scipy/statsmodels-compatible BH-FDR implementation	Not applicable	GO BP, KEGG, Reactome; unique gene symbols; one-sided Fisher/hypergeometric; BH-FDR per database and analysis stratum	GO, KEGG, Reactome gene sets	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	gene-symbol based	Main foreground 123 unique prioritized genes; AB unique background 1456 genes. Runtime environment used for local table completion: Python 3.11.15; Rscript (R) version 4.5.3 (2026-03-11).
